title;attribute;character;event;unit;rarity;availability;trained_image;untrained_image;release_date;
To Think of Your Friends;Cool;Mochizuki Honami;Unnamed Harmony;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/23/Honami_9_trained_art.png/609px-Honami_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/64/Honami_9_art.png/609px-Honami_9_art.png;2021/06/30;
An Umbrella Waiting for Clear Skies;Cute;Hoshino Ichika;Unnamed Harmony;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/d3/Ichika_9_art.png/657px-Ichika_9_art.png;2021/06/30;
Awakening the Strength Within;Cute;Azusawa Kohane;Awakening Beat;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/63/Kohane_8_trained_art.png/609px-Kohane_8_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/9c/Kohane_8_art.png/609px-Kohane_8_art.png;2021/07/09;
Words to Tell My Partner;Cute;Shiraishi An;Awakening Beat;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/3e/An_8_trained_art.png/609px-An_8_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/c/ca/An_8_art.png/609px-An_8_art.png;2021/07/09;
Talking Coffee Time;Cute;MEIKO;Awakening Beat;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/84/MEIKO_10_trained_art.png/609px-MEIKO_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/2e/MEIKO_10_art.png/609px-MEIKO_10_art.png;2021/07/09;
Respect for My Teammates;Pure;Aoyagi Toya;Awakening Beat;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/90/Toya_10_trained_art.png/609px-Toya_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/21/Toya_10_art.png/609px-Toya_10_art.png;2021/07/09;
Pop Out SEKAI;Cool;Kagamine Rin;Awakening Beat;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/b/bb/Rin_10_art.png/657px-Rin_10_art.png;2021/07/09;
Unchanging Summer Festival;Cool;Shinonome Akito;Ringing Sounds at the Summer Festival;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/8e/Akito_8_trained_art.png/609px-Akito_8_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/fc/Akito_8_art.png/609px-Akito_8_art.png;2021/07/20;
Faraway Summer Festival;Cool;Shinonome Ena;Ringing Sounds at the Summer Festival;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/ed/Ena_10_trained_art.png/609px-Ena_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/46/Ena_10_art.png/609px-Ena_10_art.png;2021/07/20;
My Dancing Shoes!;Cool;Kagamine Len;Ringing Sounds at the Summer Festival;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a7/Len_9_trained_art.png/609px-Len_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/33/Len_9_art.png/609px-Len_9_art.png;2021/07/20;
That's Unfair!;Happy;Momoi Airi;Ringing Sounds at the Summer Festival;MORE MORE JUMP!;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/6c/Airi_10_trained_art.png/609px-Airi_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/6c/Airi_10_art.png/609px-Airi_10_art.png;2021/07/20;
Summer Night Festival;Happy;Akiyama Mizuki;Ringing Sounds at the Summer Festival;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/a/a6/Mizuki_10_art.png/657px-Mizuki_10_art.png;2021/07/20;
Swimming Lessons in the Sea;Pure;Mochizuki Honami;Let's Have the Absolute Best Summer!;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/a/a0/Honami_10_trained_art.png/609px-Honami_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/a9/Honami_10_art.png/609px-Honami_10_art.png;2021/07/31;
Magic Show Assistant!;Pure;Tenma Saki;Let's Have the Absolute Best Summer!;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/c/ce/Saki_11_trained_art.png/609px-Saki_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/30/Saki_11_art.png/609px-Saki_11_art.png;2021/07/31;
The Barbecue Magistrate!?;Pure;Otori Emu;Let's Have the Absolute Best Summer!;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/d5/Emu_9_trained_art.png/609px-Emu_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/c/ce/Emu_9_art.png/609px-Emu_9_art.png;2021/07/31;
Where Could the Big Seashell Be?;Mysterious;Hatsune Miku;Let's Have the Absolute Best Summer!;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/24/Miku_14_trained_art.png/609px-Miku_14_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/13/Miku_14_art.png/609px-Miku_14_art.png;2021/07/31;
A Sea Glass Full of Feelings;Cool;Azusawa Kohane;Let's Have the Absolute Best Summer!;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/85/Kohane_9_art.png/657px-Kohane_9_art.png;2021/07/31;
Full Power! Happy Everyday!;Mysterious;Momoi Airi;Happy Lovely Everyday;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/c/c7/Airi_11_trained_art.png/609px-Airi_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/d4/Airi_11_art.png/609px-Airi_11_art.png;2021/08/10;
Prince of the Stage;Mysterious;Kagamine Len;Happy Lovely Everyday!;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e5/Len_10_trained_art.png/609px-Len_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/d9/Len_10_art.png/609px-Len_10_art.png;2021/08/10;
Together With Our Little Fans;Mysterious;Kiritani Haruka;Happy Lovely Everyday;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/0/0b/Haruka_10_trained_art.png/609px-Haruka_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/29/Haruka_10_art.png/609px-Haruka_10_art.png;2021/08/10;
Secret Negotiation;Cute;Hinomori Shizuku;Happy Lovely Everyday!;MORE MORE JUMP!;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e5/Shizuku_8_trained_art.png/609px-Shizuku_8_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/9f/Shizuku_8_art.png/609px-Shizuku_8_art.png;2021/08/10;
The Hasty Messenger;Mysterious;Hanasato Minori;Happy Lovely Everyday!;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/9f/Minori_9_art.png/657px-Minori_9_art.png;2021/08/10;
After-Party With Fireworks;Pure;Kusanagi Nene;Mesmerized by Mermaids;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/64/Nene_9_trained_art.png/609px-Nene_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/29/Nene_9_art.png/609px-Nene_9_art.png;2021/08/20;
The Alchemist Behind the Scenes;Pure;Kamishiro Rui;Mesmerized by Mermaids;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/b/b3/Rui_10_trained_art.png/609px-Rui_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/e/e3/Rui_10_art.png/609px-Rui_10_art.png;2021/08/20;
Longing for the Sea;Pure;Megurine Luka;Mesmerized by Mermaids;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/4/42/Luka_11_trained_art.png/609px-Luka_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/26/Luka_11_art.png/609px-Luka_11_art.png;2021/08/20;
The Troupe Leader's One Day Off;Happy;KAITO;Mesmerized by Mermaids;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/1/1a/KAITO_8_trained_art.png/609px-KAITO_8_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/33/KAITO_8_art.png/609px-KAITO_8_art.png;2021/08/20;
Smiles I Want to Protect;Happy;Otori Emu;Mesmerized by Mermaids;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/82/Emu_10_art.png/657px-Emu_10_art.png;2021/08/20;
The Same Dango as That Day;Cute;Hinomori Shizuku;The Two Moon Rabbits;MORE MORE JUMP!;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/a/a3/Shizuku_9_trained_art.png/609px-Shizuku_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/4c/Shizuku_9_art.png/609px-Shizuku_9_art.png;2021/08/31;
What Filled Me With Loneliness Was...;Cute;Hinomori Shiho;The Two Moon Rabbits;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/6/66/Shiho_9_trained_art.png/609px-Shiho_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/73/Shiho_9_art.png/609px-Shiho_9_art.png;2021/08/31;
The Hint for the Project Meeting is a Rabbit?!;Cute;MEIKO;The Two Moon Rabbits;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e9/MEIKO_11_trained_art.png/609px-MEIKO_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/31/MEIKO_11_art.png/609px-MEIKO_11_art.png;2021/08/31;
A Chat on the Rooftop;Happy;Hatsune Miku;The Two Moon Rabbits;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/4/4a/Miku_15_trained_art.png/609px-Miku_15_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/9b/Miku_15_art.png/609px-Miku_15_art.png;2021/08/31;
Looking Up at the Same Moon;Cute;Asahina Mafuyu;The Two Moon Rabbits;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/1/1b/Mafuyu_10_art.png/657px-Mafuyu_10_art.png;2021/08/31;
Star Piece That Connects Our Feelings Together;Mysterious;Hoshino Ichika;Knock the Future!!;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/dc/Ichika_10_trained_art.png/609px-Ichika_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/e/ea/Ichika_10_art.png/609px-Ichika_10_art.png;2021/09/10;
A Session That Speaks With Sounds;Mysterious;KAITO;Knock the Future!!;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/5/57/KAITO_9_trained_art.png/609px-KAITO_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/6c/KAITO_9_art.png/609px-KAITO_9_art.png;2021/09/10;
Finding Out What I Can Do;Mysterious;Mochizuki Honami;Knock the Future!!;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a6/Honami_11_trained_art.png/609px-Honami_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/84/Honami_11_art.png/609px-Honami_11_art.png;2021/09/10;
A Reflection Meeting After;Pure;Hinomori Shiho;Knock the Future!!;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/90/Shiho_10_trained_art.png/609px-Shiho_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/82/Shiho_10_art.png/609px-Shiho_10_art.png;2021/09/10;
Cookie Cheer;Mysterious;Tenma Saki;Knock the Future!!;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/1/12/Saki_12_art.png/657px-Saki_12_art.png;2021/09/10;
Memories of Warm Affection;Happy;Asahina Mafuyu;Mirage of lights;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/2d/Mafuyu_11_trained_art.png/609px-Mafuyu_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/0a/Mafuyu_11_art.png/609px-Mafuyu_11_art.png;2021/09/21;
A Moment's Rest;Happy;Akiyama Mizuki;Mirage of lights;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/20/Mizuki_11_trained_art.png/609px-Mizuki_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/78/Mizuki_11_art.png/609px-Mizuki_11_art.png;2021/09/21;
That Girl in the Photo Album;Happy;Kagamine Rin;Mirage of lights;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/9b/Rin_11_trained_art.png/609px-Rin_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/31/Rin_11_art.png/609px-Rin_11_art.png;2021/09/21;
A Canceled Message;Cute;Shinonome Ena;Mirage of lights;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a5/Ena_11_trained_art.png/609px-Ena_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f7/Ena_11_art.png/609px-Ena_11_art.png;2021/09/21;
An Awkward Tea Time;Pure;Yoisaki Kanade;Mirage of lights;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/4/4d/Kanade_10_art.png/657px-Kanade_10_art.png;2021/09/21;
In a Place Where Feelings Overlap;Mysterious;Hatsune Miku;Colorful Festival Gacha;VIRTUAL SINGER;4.0;Colorful Festival limited;//static.wikitide.net/projectsekaiwiki/thumb/6/60/Miku_16_trained_art.png/609px-Miku_16_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/bd/Miku_16_art.png/609px-Miku_16_art.png;2021/10/01;
The Starry Sky I Once Saw;Cool;Hoshino Ichika;Colorful Festival Gacha;Leo/need;4.0;Colorful Festival limited;//static.wikitide.net/projectsekaiwiki/thumb/7/71/Ichika_11_trained_art.png/609px-Ichika_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/15/Ichika_11_art.png/609px-Ichika_11_art.png;2021/10/01;
Blessings From My Friends;Pure;Hanasato Minori;Scramble Fan FESTA!;MORE MORE JUMP!;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/b/b4/Minori_10_trained_art.png/609px-Minori_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/42/Minori_10_art.png/609px-Minori_10_art.png;2021/10/01;
Emu Style? The Art of Dancing!;Pure;Azusawa Kohane;Scramble Fan FESTA!;Vivid BAD SQUAD;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/7/78/Kohane_10_trained_art.png/609px-Kohane_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/a1/Kohane_10_art.png/609px-Kohane_10_art.png;2021/10/01;
Backstage Encouragement;Pure;Tenma Tsukasa;Scramble Fan FESTA!;Wonderlands×Showtime;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/9/98/Tsukasa_11_trained_art.png/609px-Tsukasa_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/28/Tsukasa_11_art.png/609px-Tsukasa_11_art.png;2021/10/01;
The World Shown by Music;Mysterious;Yoisaki Kanade;Scramble Fan FESTA!;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/2f/Kanade_11_trained_art.png/609px-Kanade_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/08/Kanade_11_art.png/609px-Kanade_11_art.png;2021/10/01;
Happy Birthday!!;Cute;Kiritani Haruka;Birthday Gacha;MORE MORE JUMP!;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/9/95/Haruka_11_art.png/609px-Haruka_11_art.png;2021/10/04;
Over the Fence;Cool;Shiraishi An;Bout for Beside You;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a8/An_9_trained_art.png/609px-An_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/6f/An_9_art.png/609px-An_9_art.png;2021/10/11;
Faith in Believing;Cool;Aoyagi Toya;Bout for Beside You;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/6c/Toya_11_trained_art.png/609px-Toya_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/58/Toya_11_art.png/609px-Toya_11_art.png;2021/10/11;
Even the Words You Don't Want to Hear;Cool;Hatsune Miku;Bout for Beside You;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/5/56/Miku_17_trained_art.png/609px-Miku_17_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/2f/Miku_17_art.png/609px-Miku_17_art.png;2021/10/11;
Even Though She's My Partner;Cute;Kagamine Len;Bout for Beside You;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/f3/Len_11_trained_art.png/609px-Len_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/d2/Len_11_art.png/609px-Len_11_art.png;2021/10/11;
A Choice to Be Proud Of;Mysterious;Shinonome Akito;Bout for Beside You;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/5f/Akito_9_art.png/657px-Akito_9_art.png;2021/10/11;
Longing for the Old Days;Happy;Kamishiro Rui;Revival my dream;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/90/Rui_11_trained_art.png/609px-Rui_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/be/Rui_11_art.png/609px-Rui_11_art.png;2021/10/21;
Ju-Ju-Ju-Juuump!;Happy;Otori Emu;Revival my dream;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/89/Emu_11_trained_art.png/609px-Emu_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/47/Emu_11_art.png/609px-Emu_11_art.png;2021/10/21;
A Shy Visitor;Happy;Kusanagi Nene;Revival my dream;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/c/c2/Nene_10_trained_art.png/609px-Nene_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/35/Nene_10_art.png/609px-Nene_10_art.png;2021/10/21;
An Officer's Crisis;Happy;Tenma Tsukasa;Revival my dream;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/7/7e/Tsukasa_12_trained_art.png/609px-Tsukasa_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/71/Tsukasa_12_art.png/609px-Tsukasa_12_art.png;2021/10/21;
Intelligent City Girl;Pure;Kagamine Rin;Revival my dream;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/23/Rin_12_art.png/657px-Rin_12_art.png;2021/10/21;
Happy Birthday!!;Mysterious;Mochizuki Honami;Birthday Gacha;Leo/need;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/a/ae/Honami_12_art.png/609px-Honami_12_art.png;2021/10/27;
Reverse Hermit;Cute;Akiyama Mizuki;My Footprints, Your Destination;25-ji, Nightcord de.;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/a/a5/Mizuki_12_trained_art.png/609px-Mizuki_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/b9/Mizuki_12_art.png/609px-Mizuki_12_art.png;2021/10/31;
Hermit Searcher;Cute;Shinonome Ena;My Footprints, Your Destination;25-ji, Nightcord de.;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/a/a5/Ena_12_trained_art.png/609px-Ena_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/1f/Ena_12_art.png/609px-Ena_12_art.png;2021/10/31;
What the Hanged Girl Saw;Cute;Yoisaki Kanade;My Footprints, Your Destination;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/33/Kanade_12_trained_art.png/609px-Kanade_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/e/eb/Kanade_12_art.png/609px-Kanade_12_art.png;2021/10/31;
The Scales of Justice;Cool;MEIKO;My Footprints, Your Destination;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/7/72/MEIKO_12_trained_art.png/609px-MEIKO_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/02/MEIKO_12_art.png/609px-MEIKO_12_art.png;2021/10/31;
The Staff of Guidance;Cool;Asahina Mafuyu;My Footprints, Your Destination;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/a/ac/Mafuyu_12_art.png/657px-Mafuyu_12_art.png;2021/10/31;
Happy Anniversary!!;Pure;MEIKO;Birthday Gacha;VIRTUAL SINGER;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/d/d9/MEIKO_13_art.png/609px-MEIKO_13_art.png;2021/11/05;
Because You're Our Precious Friend;Cool;Mochizuki Honami;Unwavering Feelings, Now Put Into Words;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e0/Honami_13_trained_art.png/609px-Honami_13_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/81/Honami_13_art.png/609px-Honami_13_art.png;2021/11/11;
Hurtful Words;Cool;Hinomori Shiho;Unwavering Feelings, Now Put Into Words;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a5/Shiho_11_trained_art.png/609px-Shiho_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/48/Shiho_11_art.png/609px-Shiho_11_art.png;2021/11/11;
For Our Next Live Performance!;Cool;Tenma Saki;Unwavering Feelings, Now Put Into Words;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/94/Saki_13_trained_art.png/609px-Saki_13_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/4f/Saki_13_art.png/609px-Saki_13_art.png;2021/11/11;
The Direction of Our New Song;Cute;Hoshino Ichika;Unwavering Feelings, Now Put Into Words;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/eb/Ichika_12_trained_art.png/609px-Ichika_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/0d/Ichika_12_art.png/609px-Ichika_12_art.png;2021/11/11;
The Strength to Put Your Feelings Into Action;Happy;Kagamine Len;Unwavering Feelings, Now Put Into Words;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/b/bb/Len_12_art.png/657px-Len_12_art.png;2021/11/11;
Happy Birthday!!;Cute;Shinonome Akito;Birthday Gacha;Vivid BAD SQUAD;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/a/a1/Akito_10_art.png/609px-Akito_10_art.png;2021/11/12;
A Secret Between Us;Happy;Azusawa Kohane;Buddy?Funny?Spend Time ?;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/9f/Kohane_11_trained_art.png/609px-Kohane_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/0c/Kohane_11_art.png/609px-Kohane_11_art.png;2021/11/20;
Reassuring Words;Happy;Megurine Luka;Buddy?Funny?Spend Time ?;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/30/Luka_12_trained_art.png/609px-Luka_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/98/Luka_12_art.png/609px-Luka_12_art.png;2021/11/20;
A Street-Style Idol!?;Happy;Kiritani Haruka;Buddy?Funny?Spend Time ?;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/da/Haruka_12_trained_art.png/609px-Haruka_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f9/Haruka_12_art.png/609px-Haruka_12_art.png;2021/11/20;
Peak Excitement!;Mysterious;Shiraishi An;Buddy?Funny?Spend Time ?;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/ff/An_10_trained_art.png/609px-An_10_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/7f/An_10_art.png/609px-An_10_art.png;2021/11/20;
A Night Date at Phoenix Wonderland;Cute;Hinomori Shizuku;Buddy?Funny?Spend Time ?;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/4/42/Shizuku_10_art.png/657px-Shizuku_10_art.png;2021/11/20;
Under the First Snow;Cute;Asahina Mafuyu;Intersecting Melodies, Glowing Warmth;25-ji, Nightcord de.;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/5/51/Mafuyu_13_trained_art.png/609px-Mafuyu_13_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/84/Mafuyu_13_art.png/609px-Mafuyu_13_art.png;2021/11/30;
An Encounter Linked Through a CD;Cute;Hoshino Ichika;Intersecting Melodies, Glowing Warmth;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/5/54/Ichika_13_trained_art.png/609px-Ichika_13_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/9e/Ichika_13_art.png/609px-Ichika_13_art.png;2021/11/30;
Straightforward Lyrics;Cute;Hatsune Miku;Intersecting Melodies, Glowing Warmth;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/91/Miku_18_trained_art.png/609px-Miku_18_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/c/c7/Miku_18_art.png/609px-Miku_18_art.png;2021/11/30;
The Usual Ramen;Cool;Yoisaki Kanade;Intersecting Melodies, Glowing Warmth;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/f8/Kanade_13_trained_art.png/609px-Kanade_13_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/d2/Kanade_13_art.png/609px-Kanade_13_art.png;2021/11/30;
For My Dear Childhood Friends;Pure;Mochizuki Honami;Intersecting Melodies, Glowing Warmth;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/c/c4/Honami_14_art.png/657px-Honami_14_art.png;2021/11/30;
Happy Birthday!!;Cool;Hinomori Shizuku;Birthday Gacha;MORE MORE JUMP!;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/a/aa/Shizuku_11_art.png/609px-Shizuku_11_art.png;2021/12/06;
Let's Do a Fan Meeting!;Mysterious;Hanasato Minori;MOREMOREMakingXmas;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/0/0a/Minori_11_trained_art.png/609px-Minori_11_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/2b/Minori_11_art.png/609px-Minori_11_art.png;2021/12/10;
Together With Our Fans!;Mysterious;Momoi Airi;MOREMOREMakingXmas;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/4/49/Airi_12_trained_art.png/609px-Airi_12_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/37/Airi_12_art.png/609px-Airi_12_art.png;2021/12/10;
